Id,Date,Time,League,Home,Away,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No
tbbz2lmf,21/09/2024,13:00,SERBIA - SUPER LIGA,Cukaricki,Jedinstvo U.,1.26,5.0,11.25,1.57,2.25,2.02,1.72
2Dnq0SH6,21/09/2024,13:00,SERBIA - SUPER LIGA,TSC,Novi Pazar,1.57,4.0,5.3,1.8,1.95,1.87,1.85
4xTwM9vQ,21/09/2024,15:00,SERBIA - SUPER LIGA,Napredak,Mladost,2.55,3.15,2.7,1.95,1.8,1.7,2.02
QXbwwkpp,21/09/2024,11:00,SERBIA - PRVA LIGA,Sloven Ruma,FK Indjija,3.15,3.0,2.18,2.25,1.5,1.98,1.79
ALYtcAyG,21/09/2024,13:00,SERBIA - PRVA LIGA,Macva,Vozdovac,2.27,3.0,3.0,2.12,1.57,1.91,1.85
plUaTVDi,21/09/2024,07:00,SINGAPORE - PREMIER LEAGUE,Young Lions,Hougang,3.2,4.33,1.75,1.25,4.0,1.3,3.4
YLKiF2et,21/09/2024,13:00,SLOVAKIA - NIKE LIGA,Komarno,Trencin,2.9,3.45,2.3,1.72,2.07,1.57,2.25
GQkXBTll,21/09/2024,13:00,SLOVAKIA - NIKE LIGA,Kosice,Zilina,4.05,3.7,1.82,1.72,2.1,1.65,2.12
8t4t8olD,21/09/2024,13:00,SLOVAKIA - NIKE LIGA,Skalica,Dun. Streda,4.7,3.55,1.75,1.93,1.85,1.8,1.9
dt90HkRQ,21/09/2024,15:30,SLOVAKIA - NIKE LIGA,Slovan Bratislava,Ruzomberok,1.42,4.55,6.7,1.72,2.07,1.93,1.78
QsYeBI3e,21/09/2024,10:30,SLOVAKIA - 2. LIGA,Malzenice,Lubovna,2.25,3.4,2.87,1.85,1.85,1.65,1.98
bTHFVnkA,21/09/2024,10:30,SLOVAKIA - 2. LIGA,Povazska Bystrica,FK Humenne,1.72,3.65,4.3,1.8,1.9,1.72,1.88
hUZmDvZr,21/09/2024,13:00,SLOVAKIA - 2. LIGA,L. Mikulas,Presov,2.8,3.35,2.3,1.8,1.9,1.62,2.02
OIPV6erH,21/09/2024,15:15,SLOVENIA - PRVA LIGA,O. Ljubljana,Bravo,1.47,4.1,6.3,1.78,1.98,1.9,1.8
OdzO0BD5,21/09/2024,11:00,SLOVENIA - 2. SNL,Aluminij,Jadran Dekani,2.18,3.65,2.8,1.65,2.0,1.57,2.12
pCOWbkrI,21/09/2024,11:00,SLOVENIA - 2. SNL,Ilirija,Tolmin,2.18,3.65,2.8,1.65,2.0,1.57,2.12
Qqa5DlcB,21/09/2024,11:00,SLOVENIA - 2. SNL,Rudar,Drava,1.65,4.2,4.0,1.45,2.37,1.5,2.25
IwxvcTCU,21/09/2024,11:15,SLOVENIA - 2. SNL,ND Gorica,NK Krka,1.33,5.1,7.0,1.42,2.47,1.65,1.98
UFQxetsp,21/09/2024,12:30,SLOVENIA - 2. SNL,Triglav,NK Bistrica,2.0,3.8,3.05,1.53,2.2,1.5,2.25
Y5dblpK5,21/09/2024,10:00,SOUTH AFRICA - PREMIERSHIP,Golden Arrows,Marumo Gallants,1.98,2.85,4.5,2.42,1.5,2.05,1.7
tWa6nOlI,21/09/2024,10:00,SOUTH AFRICA - PREMIERSHIP,Magesi,Polokwane,2.85,2.67,2.82,2.57,1.45,2.02,1.7
xbgFp2JU,21/09/2024,12:30,SOUTH AFRICA - PREMIERSHIP,Supersport Utd,Royal AM,1.6,3.6,5.6,2.05,1.72,2.05,1.7
hATO454n,21/09/2024,15:00,SOUTH AFRICA - PREMIERSHIP,Chippa Utd.,Richards Bay,3.05,2.67,2.65,2.82,1.38,2.2,1.6
QLGgm7W1,21/09/2024,10:00,SOUTH AFRICA - MOTSEPE FOUNDATION CHAMPIONSHIP,JDR Stars,Casric Stars,2.42,2.67,3.1,2.66,1.35,2.16,1.66
CUzDh28s,21/09/2024,10:00,SOUTH AFRICA - MOTSEPE FOUNDATION CHAMPIONSHIP,Upington City,Pretoria U.,2.27,2.67,3.4,2.88,1.3,2.32,1.58
vkSIbEc4,21/09/2024,04:30,SOUTH KOREA - K LEAGUE 1,Suwon FC,Gimcheon Sangmu,2.6,3.3,2.6,1.83,2.03,1.67,2.1
MDHNcYCA,21/09/2024,07:00,SOUTH KOREA - K LEAGUE 1,Daegu,Seoul,2.63,3.3,2.45,1.95,1.9,1.73,2.0
84Yx9Oip,21/09/2024,04:30,SOUTH KOREA - K LEAGUE 2,Asan,Jeonnam,2.3,3.6,2.9,1.83,1.98,1.67,2.1
neXt8r7j,21/09/2024,07:00,SOUTH KOREA - K LEAGUE 2,Anyang,Ansan Greeners,1.5,4.33,5.75,1.85,1.95,1.91,1.8
l0BPWRqi,21/09/2024,07:00,SOUTH KOREA - K LEAGUE 2,Cheonan City,Cheongju,3.0,3.1,2.5,2.1,1.7,1.83,1.83
QcQ3Ntdd,21/09/2024,11:15,SPAIN - LALIGA2,Racing Club Ferrol,Albacete,2.45,2.9,3.1,2.4,1.53,2.0,1.73
vw8jopl3,21/09/2024,13:30,SPAIN - LALIGA2,Dep. La Coruna,Burgos CF,1.9,3.3,4.2,2.2,1.65,2.0,1.73
YaoPUO3M,21/09/2024,13:30,SPAIN - LALIGA2,Eldense,R. Oviedo,3.0,2.88,2.63,2.6,1.48,2.1,1.67
v1jwxtBk,21/09/2024,16:00,SPAIN - LALIGA2,Zaragoza,Levante,2.0,3.2,4.0,2.2,1.65,1.91,1.8
481Ont2s,21/09/2024,12:30,SPAIN - PRIMERA RFEF,Sestao,Andorra,3.0,3.25,2.15,2.38,1.53,2.2,1.62
nNJ5cTSi,21/09/2024,14:30,SPAIN - PRIMERA RFEF,Barcelona B,Zamora,1.8,3.25,4.0,2.2,1.65,2.0,1.73
8WbWrUDb,21/09/2024,14:30,SPAIN - PRIMERA RFEF,Celta Vigo B,Unionistas,2.0,3.4,3.2,1.9,1.9,1.73,2.0
hbXhn3Kj,21/09/2024,16:30,SPAIN - PRIMERA RFEF,Tarazona,R. Union,2.7,2.88,2.55,2.63,1.44,2.2,1.62
KGmqkkuH,21/09/2024,12:30,SPAIN - PRIMERA RFEF,Merida AD,UD Ibiza,2.9,3.1,2.3,2.35,1.57,2.0,1.73
jNGgvYQb,21/09/2024,14:30,SPAIN - PRIMERA RFEF,Atl. Madrid B,Yeclano,1.85,3.4,3.6,2.2,1.65,2.1,1.67
bmK1xCeB,21/09/2024,16:30,SPAIN - PRIMERA RFEF,Hercules,Murcia,2.38,3.1,2.7,2.2,1.65,1.91,1.8
UHHG8lLt,21/09/2024,07:00,SPAIN - LIGA F WOMEN,Granada CF W,Eibar W,2.9,3.55,2.07,1.7,1.93,1.57,2.25
QqBP6Skg,21/09/2024,07:00,SPAIN - LIGA F WOMEN,Levante W,Real Sociedad W,2.17,3.1,3.08,1.76,1.95,1.6,2.2
bc9X46K5,21/09/2024,12:00,SPAIN - LIGA F WOMEN,Badalona W,Madrid C. W,2.65,3.3,2.32,1.7,1.91,1.57,2.25
WlSMMXGK,21/09/2024,10:00,SWEDEN - ALLSVENSKAN,Kalmar,AIK,4.1,3.6,1.85,1.98,1.88,1.8,1.95
GM3gHBvr,21/09/2024,12:30,SWEDEN - ALLSVENSKAN,Brommapojkarna,Mjallby,2.35,3.6,2.8,1.65,2.2,1.53,2.38
be4ixsil,21/09/2024,10:00,SWEDEN - ALLSVENSKAN WOMEN,Vittsjo W,Kristianstad W,4.4,3.45,1.7,1.87,1.78,1.85,1.85
dWNMmkfl,21/09/2024,13:00,SWITZERLAND - SUPER LEAGUE,Grasshoppers,Servette,3.6,3.75,1.95,1.73,2.08,1.67,2.1
4dRUoTO0,21/09/2024,13:00,SWITZERLAND - SUPER LEAGUE,St. Gallen,Luzern,1.85,3.8,3.8,1.48,2.6,1.44,2.63
QBFwp7gD,21/09/2024,15:30,SWITZERLAND - SUPER LEAGUE,Basel,Zurich,2.0,3.7,3.5,1.83,2.03,1.73,2.0
Kd3aw7F7,21/09/2024,11:00,SWITZERLAND - PROMOTION LEAGUE,Breitenrain,Zurich II,2.45,3.5,2.52,1.53,2.18,1.45,2.37
bsFjuTpe,21/09/2024,11:00,SWITZERLAND - PROMOTION LEAGUE,Lugano II,Luzern II,3.0,3.55,2.1,1.47,2.32,1.42,2.45
jHBrskGr,21/09/2024,11:00,SWITZERLAND - PROMOTION LEAGUE,Young Boys II,Grand-Saconnex,2.55,3.5,2.42,1.44,2.4,1.38,2.6
MogKnBhL,21/09/2024,12:00,SWITZERLAND - PROMOTION LEAGUE,Bulle,Cham,2.82,3.5,2.22,1.52,2.22,1.44,2.42
lYfClXN8,21/09/2024,12:30,SWITZERLAND - PROMOTION LEAGUE,Kriens,Paradiso,1.8,3.55,4.0,1.75,1.95,1.65,1.98
t2lfalxR,21/09/2024,12:30,SWITZERLAND - PROMOTION LEAGUE,Vevey,Bavois,2.27,3.5,2.77,1.5,2.25,1.42,2.45
YPCPQTV1,21/09/2024,15:00,SWITZERLAND - PROMOTION LEAGUE,Delemont,Basel II,2.3,3.55,2.7,1.45,2.37,1.39,2.57
UcPvbk7m,21/09/2024,05:00,TAIWAN - MULAN FOOTBALL LEAGUE WOMEN,Taichung Blue W,Hualien W,1.14,6.2,14.0,1.48,2.46,2.55,1.45
bPyNu8iJ,21/09/2024,07:30,TAIWAN - MULAN FOOTBALL LEAGUE WOMEN,Kaohsiung W,Taipei Bravo W,1.47,4.05,5.4,1.62,2.02,1.73,2.0
byl18tMg,21/09/2024,08:00,TAJIKISTAN - VYSSHAYA LIGA,Vakhsh,CSKA Pomir Dushanbe,2.5,3.2,2.5,2.2,1.65,1.85,1.91
vs0D9nCt,21/09/2024,08:00,TANZANIA - LIGI KUU BARA,Tanzania Prisons,Dodoma Jiji,2.05,3.0,3.5,2.55,1.45,2.22,1.63
CfbL7Qtg,21/09/2024,10:15,TANZANIA - LIGI KUU BARA,Pamba,Mashujaa,2.62,2.9,2.62,2.32,1.47,2.1,1.7
6kwDpnsT,21/09/2024,08:00,THAILAND - THAI LEAGUE 1,Nong Bua Pitchaya,Uthai Thani,2.42,3.35,2.7,1.65,2.15,1.53,2.35
IT6V2Tdc,21/09/2024,09:00,THAILAND - THAI LEAGUE 1,Ratchaburi,Nakhon Ratchasima FC,1.53,3.9,5.9,1.83,1.9,1.9,1.8
xWMW07R9,21/09/2024,10:00,THAILAND - THAI LEAGUE 1,Sukhothai,Lamphun Warrior,3.1,3.3,2.22,1.75,2.02,1.57,2.25
Kf8of7pI,21/09/2024,11:00,TURKEY - SUPER LIG,Konyaspor,Sivasspor,2.1,3.4,3.4,2.08,1.73,1.83,1.83
t4mCu8VO,21/09/2024,14:00,TURKEY - SUPER LIG,Fenerbahce,Galatasaray,2.15,3.4,3.25,1.6,2.3,1.5,2.5
r99yDMc4,21/09/2024,10:00,TURKEY - 1. LIG,Pendikspor,Genclerbirligi,1.7,3.6,4.2,1.98,1.83,1.91,1.8
vNNBd1DN,21/09/2024,13:00,TURKEY - 1. LIG,Amedspor,Boluspor,1.62,3.6,4.75,2.1,1.7,2.0,1.73
I7Z2bNrB,21/09/2024,13:00,TURKEY - 1. LIG,Ankaragucu,Sakaryaspor,1.65,3.6,4.5,1.9,1.9,1.83,1.83
hlE4ixL5,21/09/2024,07:00,UKRAINE - PREMIER LEAGUE,Ch. Odesa,Karpaty Lviv,2.82,3.1,2.4,2.1,1.57,1.85,1.75
bJ6hi7WN,21/09/2024,09:30,UKRAINE - PREMIER LEAGUE,Oleksandriya,Livyi Bereg,1.5,3.7,6.4,2.07,1.6,2.18,1.53
Eoiwl3ED,21/09/2024,12:00,UKRAINE - PREMIER LEAGUE,Dyn. Kyiv,Rukh Lviv,1.33,4.25,9.75,1.7,1.91,2.0,1.65
8YcyjTom,21/09/2024,06:00,UKRAINE - PERSHA LIGA,MFC Metalurh,UCSA,5.3,3.65,1.55,1.57,2.12,1.65,2.18
Y126IuiR,21/09/2024,08:00,UKRAINE - PERSHA LIGA,Podillya Khmelnytskyi,Nyva Ternopil,2.32,3.1,2.8,1.78,1.85,1.64,2.2
0l4bK1ME,21/09/2024,09:00,UKRAINE - PERSHA LIGA,Ahrobiznes Volochysk,Epitsentr,1.88,3.25,3.7,2.05,1.62,1.94,1.82
6yMZhWGD,21/09/2024,10:30,UNITED ARAB EMIRATES - UAE LEAGUE,Al Sharjah,Al Jazira,2.0,3.7,3.2,1.53,2.35,1.5,2.42
0jqbLhkh,21/09/2024,10:25,UNITED ARAB EMIRATES - PRESIDENTS CUP,Al Thaid,Al Hamriyah,2.27,3.6,2.82,1.72,2.0,1.62,2.23
hpMW4X4B,21/09/2024,10:25,UNITED ARAB EMIRATES - PRESIDENTS CUP,Hatta,Al Arabi,2.4,3.7,2.55,1.65,2.1,1.56,2.36
8On4Zxb9,21/09/2024,13:30,URUGUAY - PRIMERA DIVISION,Rampla Juniors,Cerro Largo,3.0,2.88,2.5,2.25,1.62,1.83,1.83
GljCXGSL,21/09/2024,16:00,URUGUAY - PRIMERA DIVISION,Racing Montevideo,Progreso,2.15,3.1,3.75,2.03,1.83,1.73,2.0
0MRrSfjq,21/09/2024,19:00,URUGUAY - PRIMERA DIVISION,Nacional,Defensor Sp.,1.55,4.0,5.0,1.93,1.93,2.0,1.73
CAvUgWQG,21/09/2024,15:00,USA - MLS,New York City,Inter Miami,2.55,3.7,2.6,1.44,2.7,1.4,2.75
6XwYhjtN,21/09/2024,17:00,USA - MLS,Charlotte,New England Revolution,1.7,4.2,4.5,1.67,2.15,1.7,2.05
rBhIe7Ef,21/09/2024,20:30,USA - MLS,CF Montreal,Chicago Fire,2.15,3.5,3.3,1.65,2.2,1.53,2.38
I7sxhAeT,21/09/2024,20:30,USA - MLS,Columbus Crew,Orlando City,1.73,4.0,4.5,1.53,2.4,1.57,2.25
OlK4mU3p,21/09/2024,20:30,USA - MLS,New York Red Bulls,Atlanta Utd,1.7,4.0,4.75,1.62,2.25,1.62,2.2
2uJ8nlJj,21/09/2024,21:30,USA - MLS,Austin FC,Houston Dynamo,2.8,3.4,2.5,1.85,2.0,1.67,2.1
jeCjBXei,21/09/2024,21:30,USA - MLS,FC Dallas,Los Angeles FC,3.0,3.5,2.3,1.7,2.1,1.57,2.25
CA0a9BQ3,21/09/2024,21:30,USA - MLS,Nashville SC,FC Cincinnati,3.0,3.4,2.38,1.75,2.05,1.62,2.2
UoBfAiBc,21/09/2024,21:30,USA - MLS,Sporting Kansas City,Minnesota United,1.95,3.8,3.6,1.5,2.5,1.44,2.63
tdBLfRT0,21/09/2024,22:30,USA - MLS,Colorado Rapids,Toronto FC,1.73,4.0,4.5,1.53,2.4,1.53,2.38
QD438VuA,21/09/2024,22:30,USA - MLS,Real Salt Lake,Portland Timbers,1.8,4.0,4.0,1.4,2.88,1.4,2.75
zJAPgoq7,21/09/2024,23:30,USA - MLS,Los Angeles Galaxy,Vancouver Whitecaps,1.8,4.0,4.0,1.44,2.7,1.44,2.63
Kz477keG,21/09/2024,23:30,USA - MLS,San Jose Earthquakes,St. Louis City,2.5,3.75,2.55,1.44,2.7,1.4,2.75
ELuaUGZO,21/09/2024,20:00,USA - USL CHAMPIONSHIP,Hartford Athletic,Oakland Roots,2.15,3.45,2.87,1.83,1.9,1.7,2.02
S4wmXIk6,21/09/2024,20:30,USA - USL CHAMPIONSHIP,Charleston,Tampa Bay,1.88,3.6,3.4,1.72,2.05,1.65,2.1
n9ADmvzm,21/09/2024,20:30,USA - USL CHAMPIONSHIP,North Carolina,Indy Eleven,2.02,3.5,3.1,1.72,2.05,1.62,2.15
6BQEoI4a,21/09/2024,20:30,USA - USL CHAMPIONSHIP,Rhode Island,FC Tulsa,1.45,3.6,7.6,1.98,1.78,2.05,1.7
zVteVdKI,21/09/2024,22:00,USA - USL CHAMPIONSHIP,El Paso,Colorado Springs,2.82,3.45,2.18,1.87,1.87,1.72,2.0
hnB9lKKt,21/09/2024,23:00,USA - USL CHAMPIONSHIP,Monterey Bay,Orange County SC,2.07,3.25,3.25,2.05,1.72,1.83,1.87
GQJsg0CP,21/09/2024,23:30,USA - USL CHAMPIONSHIP,Las Vegas Lights,Sacramento Republic,2.55,3.2,2.55,1.93,1.82,1.72,2.02
Qa9Hnbkg,21/09/2024,23:30,USA - USL CHAMPIONSHIP,Phoenix Rising,San Antonio,2.18,3.15,3.1,2.07,1.7,1.83,1.87
ShmDNtiT,21/09/2024,09:00,UZBEKISTAN - SUPER LEAGUE,Metallurg Bekabad,Pakhtakor,3.8,3.0,2.02,2.32,1.47,2.02,1.62
b3zMMkbe,21/09/2024,17:00,VENEZUELA - LIGA FUTVE,Rayo Zuliano,Metropolitanos,2.8,2.9,2.6,2.07,1.6,1.78,1.83
UPwoLxNj,21/09/2024,18:45,VENEZUELA - LIGA FUTVE,Dep. Tachira,Inter de Barinas,1.35,4.25,8.75,1.93,1.7,2.32,1.47
YghFQbaT,21/09/2024,21:30,VENEZUELA - LIGA FUTVE,Portuguesa,Universidad Central,2.35,3.2,2.85,2.15,1.55,1.91,1.7
EmhKoXo2,21/09/2024,07:00,VIETNAM - V.LEAGUE 1,Gia Lai,Song Lam Nghe An,2.25,2.95,3.25,2.15,1.55,1.85,1.75
tfp69zv9,21/09/2024,08:00,VIETNAM - V.LEAGUE 1,Binh Duong,Hai Phong,3.0,3.1,2.3,1.87,1.85,1.62,2.05
vXSFbEFc,21/09/2024,10:30,WALES - CYMRU PREMIER,Barry,Caernarfon,1.98,3.5,3.2,1.7,2.07,1.6,2.22
pUVNdhpA,21/09/2024,10:30,WALES - CYMRU PREMIER,Briton Ferry,Flint,4.1,3.8,1.7,1.55,2.32,1.55,2.3
6qKWfWEM,21/09/2024,10:30,WALES - CYMRU PREMIER,Cardiff Metropolitan,Connahs Q.,3.7,3.4,1.87,1.82,1.91,1.72,2.02
